productname,productvendor,productversion
Sql Server 2008 R2 Bi Development Studio,Microsoft,10.x
Sql Server 2008 R2 Common Files,Microsoft,10.x
Sql Server 2008 R2 Management Studio,Microsoft,10.x
Sql Server 2008 Management Objects,Microsoft,10.x
Sql Server Bi Development Studio 2008 R,Microsoft,20.x
Sql Server Bi Development Studio,Microsoft,20.x
Sql Server Common Files 2008 R2 Sp,Microsoft,20.x
Sql Server Compact,Microsoft,3.x
Sql Server Management Studio 2008 R,Microsoft,20.x
Sql Server Native Client 2008 R,Microsoft,20.x
Microsoft Sql Server 2008 R2 Management Objects,Microsoft,10.x
Microsoft Sql Server 2014 Policies,Microsoft,12.x
Microsoft Sql Server 2014 Transact-Sql Compiler Service,Microsoft,12.x
Sql Server 2014 Client Tools,Microsoft,12.x
Sql Server 2014 Management Studio,Microsoft,12.x
Sql Server Native Client,Microsoft,20.x
Microsoft Sql Server Vss Writer,Microsoft,20.x
Sql Server 2012 Ent,Microsoft,20.x
Sql Server Database Engine Shared,Microsoft,2012.x
Sql Server Management Objects,Microsoft,20.x
Sql Server Management Studio,Microsoft,20.x
Microsoft Sql Server 2012 (64-Bit),Microsoft,(64.x
Microsoft Sql Server 2012 Setup (English),Microsoft,11.x
Microsoft Vss Writer For Sql Server,Microsoft,11.x
Sql Server 2012 Common Files,Microsoft,11.x
Sql Server 2012 Database Engine Services,Microsoft,11.x
Sql Server 2012 Database Engine Services Express Edition Express Edition,Microsoft,11.x
Sql Server 2012 Database Engine Shared,Microsoft,11.x
Sql Server Browser For Sql Server,Microsoft,11.x
Microsoft Sql Server 2008 R2 (64-Bit),Microsoft,(64.x
Microsoft Sql Server 2008 R2 Policies,Microsoft,10.x
Microsoft Sql Server 2008 R2 Setup (English),Microsoft,10.x
Microsoft Sql Server Browser,Microsoft,10.x
Microsoft Sql Server System Clr Types,Microsoft,10.x
Microsoft Sql Server 2005 Backward Compatibility,Microsoft,8.x
Microsoft Sql Server 2008 (64-Bit),Microsoft,(64.x
